"Case/Package","Library Ref","Footprint Ref","Capacitance","Part Number","Description","Dielectric","Mount","Voltage Rating (DC)","Tolerance","Case Code (Metric)","Manufacturer Part Number","Manufacturer","Height","HelpURL","Lead Free","Length","Max Operating Temperature","Min Operating Temperature","Number of Pins","REACH SVHC","Status","Width"
"0402","C","C_0402_1005","10n","C_10NF_10V_X7R_0402_10","Ceramic Capacitor","X7R","Surface Mount","10","0.1","1005","CC0402KRX7R6BB103 ","Yageo","0mm","http://datasheet.octopart.com/CC0402KRX7R6BB103-Yageo-datasheet-10883670.pdf","Lead Free","1mm","125°C","-55°C","2",,,"500um"
"0402","C","C_0402_1005","68p","C_68PF_50V_NP0_0402_5","Ceramic Capacitor","NP0","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","220p","C_220PF_50V_C0G_0402_5","Ceramic Capacitor","C0G","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","33n","C_33NF_16V_X7R_0402_10","Ceramic Capacitor","X7R","Surface Mount","16","0.1",,"CC0402KRX7R7BB333","Yageo","0mm","http://datasheet.octopart.com/CC0402KRX7R7BB333-Yageo-datasheet-10883670.pdf",,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","3.3n","C_3N3F_50V_X5R_0402_10","Ceramic Capacitor","X5R","Surface Mount","50","0.1","1005",,,"500um",,"Lead Free","1mm","85°C","-55°C","2",,,"500um"
"0402","C","C_0402_1005","3p","C_3PF_50V_C0G_0402_8","Ceramic Capacitor","C0G","Surface Mount","50","0.08",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","22n","C_22NF_16V_X7R_0402_10","Ceramic Capacitor","X7R","Surface Mount","16","0.1",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","100n","C_100NF_6V3_X5R_0402_10","Ceramic Capacitor","X5R","Surface Mount","6.3V","0.1","1005","GRM155R60J104KA01D","Murata","0mm","http://datasheet.octopart.com/GRM155R60J104KA01D-Murata-datasheet-12510170.pdf","Lead Free","0mm","85","-55","2",,"MK","0mm"
"0402","C","C_0402_1005","33p","C_33PF_25V_C0G_0402_5","Ceramic Capacitor","C0G","Surface Mount","25V","0.05","1005","CC0402JRNPO8BN330","Yageo","500um","http://datasheet.octopart.com/CC0402JRNPO8BN330-Yageo-datasheet-24578986.pdf","Lead Free","1mm","125°C","-55°C","2",,,"500um"
"0402","C","C_0402_1005","2.2u","C_2U2F_6V3_X5R_0402_20","Ceramic Capacitor","X5R","Surface Mount","6.3V","0.2",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","560p","C_560PF_50V_C0G_0402_5","Ceramic Capacitor","C0G","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","4.7u","C_4U7F_6V3_0402_20","Ceramic Capacitor","X5R","Surface Mount","6.3V","0.2",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","56n","C_56NF_50V_X7R_0402_10","Ceramic Capacitor","X7R","Surface Mount","50","0.1",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","1.8p","C_1P8F_50V_C0G_0402_5","Ceramic Capacitor","C0G","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","68p","C_69PF_50V_0402_COG_5","Ceramic Capacitor","COG","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","1.8n","C_1N8F_100V_X7R_0402_10","Ceramic Capacitor","X7R","Surface Mount","100","0.1","1005","GRM155R72A182KA01D","Murata","500um","http://datasheet.octopart.com/GRM155R72A182KA01D-Murata-datasheet-14400630.pdf",,"1mm","125°C","-55°C","2",,,"500um"
"0402","C","C_0402_1005","6.8p","C_6P8F_50V_C0G_0402_7","Ceramic Capacitor","C0G","Surface Mount","50","0.07",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","680p","C_680PF_50V_X7R_0402_10","Ceramic Capacitor","X7R","Surface Mount","50","0.1","1005",,,"500um",,"Lead Free","1mm","125°C","-55°C","2","No SVHC",,"500um"
"0402","C","C_0402_1005","3.9p","C_3P9F_50V_C0G_0402_5","Ceramic Capacitor","C0G","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","4.3p","C_4P3F_50V_C0G_0402_2","Ceramic Capacitor","C0G","Surface Mount","50","0.02",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","4.7u","C_4U7F_6V3_X5R_0402_20","Ceramic Capacitor","X5R","Surface Mount","6.3V","0.2",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","470n","C_470NF_50V_X5R_0402_10","Ceramic Capacitor","X5R","Surface Mount","50","0.1","1005",,,"500um",,"Lead Free","1mm","85°C","-55°C",,,,"508um"
"0402","C","C_0402_1005","82p","C_82PF_50V_C0G_0402_5","Ceramic Capacitor","C0G","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","39p","C_39PF_50V_C0G_0402_5","Ceramic Capacitor","C0G","Surface Mount","50","0.05",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","10n","C_10NF_25V_X7R_0402_20","Ceramic Capacitor","X7R","Surface Mount","25V","0.2",,,,"0mm",,,"0mm",,,"2",,,"0mm"
"0402","C","C_0402_1005","470n","C_470NF_35V_X5R_0402_10","Ceramic Capacitor","X5R","Surface Mount","35V","0.1","1005",,,"500um",,,"1mm","85°C","-55°C",,,,"500um"
"0402","C","C_0402_1005","5.1p","C_5P1F_50V_0402_COG","Ceramic Capacitor","COG","Surface Mount","50","0.204",,,,"0mm",,,"0mm",,,"2",,,"0mm"
