"Part Number","Library Ref","Footprint Ref","Case/Package","Current Rating","Description","Gender","Contact Location","Mount","Number of Rows","Series","Height","HelpURL","Lead Pitch","Max Operating Temperature","Number of Pins","Orientation","RoHS","Manufacruter","Manufacturer Part Number","Status"
"0541324033","0541324033",,,"0A","FFC & FPC Connectors 0.5 FPC ZIF 40Ckt Sn-Ag-Bi","Female",,,"1",,,"http://sigma.octopart.com/16998293/technical_drawing/Molex-541324033.pdf",,"0°C","40",,,,,
"1-1734592-0","1-1734592-0","1-1734592-0",,"500mA","FPC, SMT, 0.5MM, 10WAY","Receptacle","Bottom","Surface Mount","1",,"2.05mm","https://octopart.com/datasheet/1-1734592-0-te+connectivity-40105319","0.5mm","85°C","10","Right Angle","Compliant",,,
"1-1734839-0","1-1734839-0","1-1734839-0",,"500mA","FPC, SMT, 0.5MM, 10WAY","Receptacle","Top","Surface Mount","1",,"2.05mm","https://octopart.com/datasheet/1-1734839-0-te+connectivity+%2F+amp-5415311","0.5mm","85°C","10","Right Angle","Compliant",,,
"503480-1000","503480-1000","503480-1000",,"500mA","FPC Connector, 10-Leads, Right Angle, Pitch 0.5 mm, Mated Height 1.0 mm, SMT","Receptacle",,"Surface Mount","1",,,"https://www.molex.com/pdm_docs/sd/5034801000_sd.pdf",,"85°C","10","Right Angle","Compliant",,,
"68610614122","68610614122","68610614122",,"1A","WR-FPC 1mm Top Connact","Male","Top","Surface Mount","1",,,"https://katalog.we-online.com/em/datasheet/68610614122.pdf",,"85°C","6","Straight",,,,
"68610614422","68610614422","68610614422",,"1A","WR-FPC 1mm Bottom Connact","Male","Bottom","Surface Mount","1","WR-FPC",,"https://katalog.we-online.com/em/datasheet/68610614122.pdf",,"85°C","6","Straight","Compliant",,,
"686606050001","686606050001",,,"1A","WR-FPC Flat Flex Cable 1mm Contacts on same side",,"Same side","60mm","1","WR-FPC",,"https://datasheet.octopart.com/686606050001-W%C3%BCrth-Elektronik-Midcom-datasheet-10379964.pdf",,"85°C",,"Straight","Compliant",,,
"68710814022","68710814022","68710814022","SMD","0.5A","WR-FPC 0.50mm SMT ZIF Horizontal Top Contact","Female","Top","Surface Mount","1",,,"http://datasheet.octopart.com/68710814022-W%C3%BCrth-Elektronik-Midcom-datasheet-10026132.pdf",,"0°C","88",,,,,
"68712414022","HEADER_1x24","68712414022","SMD","0.5A","WR-FPC 0.50 mm SMT ZIF Horizontal Top Contact","Female","Top","Surface Mount","1","WR-FPC","2.1mm","https://katalog.we-online.de/em/datasheet/68712414022.pdf","0.5mm","85C","24","Right Angle","Compliant","Wurth Electronics","68712414022","MK"
"FH12-34S-0.5SH(55)","FH12-34S-0.5SH(55)",,,"0A","J_E2287CS051_FPC_connector","Female",,,"1",,,"http://datasheet.octopart.com/FH12-34S-0.5SH%2855%29-Hirose-datasheet-26676819.pdf",,"0°C","34",,,,,
