"Part Number","Library Ref","Footprint Ref","Contact Gender","Description","Pitch","Series","Mount","Height","HelpURL","Max Operating Temperature","Number of Rows","Number of Pins","RoHS","Manufacturer","Manufacturer Part Number","Status","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1"
"105309-1102","105309-1102","105309-1102","Header","Nano-Fit Header, Single Row, 2 Circuits, Straight","0mm","Nano-Fit","Through Hole",,"https://www.molex.com/pdm_docs/sd/1053091102_sd.pdf","0°C","1","5",,"Molex","105309-1102",,,,
"105309-1103","105309-1103","105309-1103","Header","Nano-Fit Header, Single Row, 3 Circuits, Straight","0mm","Nano-Fit","Through Hole",,"http://datasheet.octopart.com/105309-1103-Molex-datasheet-101610410.pdf","0°C","1","6",,"Molex","105309-1103",,,,
"105310-1104","105310-1104","105310-1104","Header","Nano-Fit Header, Dual Row, 4 Circuits, Straight","0mm","Nano-Fit","Through Hole",,"https://datasheet.octopart.com/105310-1104-Molex-datasheet-101610413.pdf","0°C","2","5",,"Molex","105310-1104",,,,
"43025-0200","43025-0200","43025-0200","Plug","Micro-Fit 3.0 Receptacle Housing, Dual Row, 2 Circuits","3mm","Micro-Fit","Cable","8.28mm","https://www.molex.com/webdocs/datasheets/pdf/en-us/0430250200_CRIMP_HOUSINGS.pdf","105°C","2",,,"Molex","43025-0200",,,,
"43025-0408","43025-0408","43025-0408","Plug","Micro-Fit 3.0 Receptacle Housing, Dual Row, 4 Circuits","3mm","Micro-Fit","Cable",,"https://www.molex.com/pdm_docs/sd/430250408_sd.pdf","105°C","2",,"Compliant","Molex","43025-0408",,,,
"43025-0600","43025-0600","43025-0600","Plug","Micro-Fit 3.0 Receptacle Housing, Dual Row, 6 Circuits","3mm","Micro-Fit","Cable",,"https://www.molex.com/pdm_docs/sd/430250600_sd.pdf","105°C","2","8",,"Molex","43025-0600",,"Digi-Key",,
"43025-2000","43025-2000","43025-2000","Plug","Micro-Fit 3.0 Receptacle Housing, Dual Row, 20 Circuits","3mm","Micro-Fit","Cable",,"https://www.molex.com/pdm_docs/sd/430252000_sd.pdf","105°C","2","8",,"Molex","43025-2000",,,,
"43025-2400","43025-2400","43025-2400","Plug","Micro-Fit 3.0 Receptacle Housing, Dual Row, 20 Circuits","3mm","Micro-Fit","Cable",,"https://datasheet.octopart.com/43025-2400-Molex-datasheet-119929.pdf","105°C","2","8","Compliant","Molex","43025-2400",,,,
"43030-0003","43030-0003","43030-0003","Crimp Terminal","Micro-Fit 3.0 Crimp Terminal 20-24 AWG, Reel","0mm","Micro-Fit","Cable","2.29mm","https://www.molex.com/pdm_docs/sd/430300003_sd.pdf","105°C","0","0",,"Molex","43030-0003",,,,
"43045-0200","HEADER_1x2","43045-0200","Header","Micro-Fit 3.0 Header, Single Row, 2 Circuits, Right Angle","3mm","Micro-Fit","Through Hole",,"https://www.molex.com/pdm_docs/sd/430450200_sd.pdf","105°C","1","2",,"Molex","43045-0200",,,,
"43045-0400","HEADER_2x2","43045-0400","Header","Micro-Fit 3.0 Header, Single Row, 4 Circuits, Right Angle","3mm","Micro-Fit","Through Hole",,"http://datasheet.octopart.com/43045-0600-Molex-datasheet-10220947.pdf","105°C","1","4",,"Molex","43045-0400",,,,
"43045-0600","HEADER_2x3","43045-0600","Header","Micro-Fit 3.0 Header, Double Row, 6 Circuits, Right Angle","3mm","Micro-Fit","Through Hole","8.77mm","http://datasheet.octopart.com/43045-0600-Molex-datasheet-10220947.pdf","105°C","2","6",,"Molex","43045-0600",,,,
"43045-1600","HEADER_2x8","43045-1600","Header","Micro-Fit 3.0 Header, Dual Row, 16 Circuits, Right Angle","3mm","Micro-Fit","Through Hole","4.5mm","https://datasheet.octopart.com/43045-1600-Molex-datasheet-120858.pdf","105°C","2","16",,"Molex","43045-1600",,,,
"43045-2000","HEADER_2x10","43045-2000","Header","Micro-Fit 3.0 Header, Dual Row, 20 Circuits, Right Angle","3mm","Micro-Fit","Through Hole","8.77mm","https://datasheet.octopart.com/43045-1600-Molex-datasheet-120858.pdf","105°C","2","20",,"Molex","43045-2000",,,,
"43045-2400","HEADER_2x12","43045-2400","Header","Micro-Fit 3.0 Header, Dual Row, 24 Circuits, Right Angle","3mm","Micro-Fit","Through Hole","8.77mm","https://datasheet.octopart.com/43045-1600-Molex-datasheet-120858.pdf","105°C","2","24",,"Molex","43045-2400",,,,
