"Part Number","Library Ref","Footprint Ref","Manufacturer","Manufacturer Part Number","Mount","Series","Number of Pins","Description","USB Standard","Orientation","HelpURL","Max Operating Temperature","RoHS","Height"
"1734366-1","1734366-1","1734366-1-Footprint-1",,,"Through Hole",,"4","USB 2.0 A Vertical","2.0","Vertical","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F7-1773442-0%7F0306%7Fpdf%7FEnglish%7FENG_DS_7-1773442-0_0306.pdf%7F1734366-1","80C","Compliant",
"201267-0005","201267-0005","201267-0005",,,"SMD","201267","24","USB 3.1 C Right Angle","3.1","Vertical","https://pl.mouser.com/datasheet/2/276/2012670005_IO_CONNECTORS-1374231.pdf","105C","Compliant",
"47346-0001","USB_5PIN","47346-0001","Molex","47346-0001","Surface Mount","47346","5","USB 2.0 Micro B","2.0","Horizontal","http://datasheet.octopart.com/473460001-Molex-datasheet-8350473.pdf","85C","Compliant",
"48258-0002","USB_4PIN","48258-0002","Molex","48258-0002","Through Hole","48258","10","USB 2.0 A Mid","2.0","Horizontal","https://www.molex.com/pdm_docs/sd/482580002_sd.pdf","85C","Compliant",
"61410416121R","USB_4PIN","61410416121R","Wurth Elektronics","61410416121R","Through Hole","WR-COM","4","USB 2.0 Type B Horizontal THR","2.0","Horizontal","https://katalog.we-online.de/em/datasheet/61410416121R.pdf","85C","Compliant",
"629104190121","629104190121","629104190121",,,"Surface Mount","WR-COM","5","USB 2.0 A Horizontal","2.0","Horizontal","http://datasheet.octopart.com/629104190121-W%C3%BCrth-Elektronik-datasheet-82596711.pdf","85C","Compliant",
"629105136821","USB_5PIN","629105136821","Wurth Elektronics","629105136821","Surface Mount",,"5","USB 2.0 Micro  B","2.0","Horizontal","http://datasheet.octopart.com/629105136821-W%C3%BCrth-Elektronik-datasheet-31669337.pdf","105C","Compliant",
"632712000011","632712000011","632712000011",,,"Surface Mount","WR-COM","12","USB 3.1 C","3.1","Horizontal","https://katalog.we-online.de/em/datasheet/632712000011%283%29.pdf","105C","Compliant",
"632723100011","632723100011","632723100011",,,"Surface Mount,Through Hole",,"24","WR-COM USB 3.1 Type C Receptacle Horizontal THT / SMT",,"Horizontal","https://pl.mouser.com/datasheet/2/445/632723x00011(3)-782157.pdf","105C","Compilant",
"67298-3090","67298-3090","67298-3090",,,"Through Hole","67298","8","USB 2.0 A double","2.0","Horizontal","https://www.molex.com/pdm_docs/sd/672983090_sd.pdf","50C","Compliant",
"DX07S024WJ3R400","DX07S024WJ3R400","DX07VN24WA2C1568",,,,,"24","CONN RCPT USB3.1 TYPEC 24POS SMD",,"Vertical","https://pl.mouser.com/datasheet/2/206/J117928-1371161.pdf","80C","Compilant",
"DX07VN24WA2C1568","DX07VN24WA2C1568","DX07VN24WA2C1568",,,"Sufrace Mount","DX07","24","USB 3.1 C Horizontal","3.1 Gen 2","Horizontal","https://pl.mouser.com/datasheet/2/206/J119572-1499854.pdf","80C","Compliant",
"USB A PCB Connector","USB A PCB Connector","USB A PCB Connector-Footprint-1",,,"Surface Mount",,"10","USB 2.0 A Etched Connector","2.0","Horizontal","NA","0C","Compliant",
"USB_MINIB_54819-0519","USB_MINIB_54819-0519",,"Molex","54819-0519",,,,"Zlacze USB, Mini USB typu B, USB 2.0 OTG, Montaz przewlekany",,,"http://www.molex.com/pdm_docs/sd/548190519_sd.pdf",,,
"USB-A-S-F-W-SM2","USB-A-S-F-W-SM2","USB-A-S-F-W-SM2","Samtec",,"Surface Mount",,"4","USB 2.0 A Horizontal","2.0","Horizontal","http://datasheet.octopart.com/USB-A-S-F-W-SM2-Samtec-datasheet-97369336.pdf","85C","Compliant",
"ZX20-B-5S-UNIT","ZX20-B-5S-UNIT","ZX20-B-5S-UNIT",,,"Through Hole,Vertical","ZX","5","USB 2.0 Micro B Plastic Moulding","2.0","Vertical","https://datasheet.octopart.com/ZX80-B-5S%2830%29-Hirose-datasheet-62341498.pdf","85C","Compliant",
"ZX20-B-SLDC","ZX20-B-SLDC",,,,,,,"Shielding plate for ZX20 Plug","2.0","Vertical","https://pl.mouser.com/datasheet/2/185/ZX_catalog-939768.pdf","85C","Compliant",
