"Part Number","Library Ref","Footprint Ref","Description","Max Power Dissipation","Mount","Case/Package","Tolerance","Forward Voltage","ESD Protection","Height","HelpURL","Lead Free","Length","Max Operating Temperature","Min Operating Temperature","Number of Pins","REACH SVHC","RoHS","Width","Zener Voltage","Manufacturer","Manufacturer Part Number"
"BZX384C3V6-E3-08","BZX384C3V6-E3-08","SOD323","Zener","200mW","Surface Mount","SOD323","0.05","0V","Yes","0mm","https://pl.mouser.com/datasheet/2/427/bzx384-58924.pdf",,"0mm","150°C","-55°C","2",,,"0mm","3.6V","ON Semiconductor","BZX384C3V6-E3-08"
"BZX84C10LT1G","BZX84C","SOT23_TO236_SC59","Zenner","225mW","Surface Mount","SOT23","0.06","900mV","Yes","1.1mm","http://datasheet.octopart.com/BZX84C10LT1G-ON-Semiconductor-datasheet-6396728.pdf","Lead Free","3mm","150°C","-65°C","3","No SVHC",,"1.4mm","10V","ON Semiconductor","BZX84C10LT1G"
"BZX84C15LT1G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0","0V",,"0mm","http://datasheet.octopart.com/BZX84C15LT1G-ON-Semiconductor-datasheet-6396728.pdf",,"0mm",,,,,,"0mm","15V",,
"BZX84C18LT3G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0","0V",,"0mm","http://datasheet.octopart.com/BZX84C18LT3G-ON-Semiconductor-datasheet-6396728.pdf",,"0mm",,,,,,"0mm","18V",,
"BZX84C24LT1G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0","0V",,"0mm","http://datasheet.octopart.com/BZX84C24LT1G-ON-Semiconductor-datasheet-6396728.pdf",,"0mm",,,,,,"0mm","24V",,
"BZX84C36LT1G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0.06","900mV",,"1.1mm","http://datasheet.octopart.com/BZX84C36LT1G-ON-Semiconductor-datasheet-6396728.pdf","Lead Free","3mm","150°C","-65°C","3","No SVHC",,"1.4m","36V",,
"BZX84C3V6LT1G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0","0V",,"0mm","http://datasheet.octopart.com/BZX84C3V6LT1G-ON-Semiconductor-datasheet-6396728.pdf",,"0mm",,,,,,"0mm","3.6V","ON Semiconductor","BZX84C3V6LT1G"
"BZX84C3V9LT1G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0","0V",,"0mm","http://datasheet.octopart.com/BZX84C3V9LT1G-ON-Semiconductor-datasheet-6396728.pdf",,"0mm",,,,,,"0mm","3.9V",,
"BZX84C5V1LT1G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0","0V",,"0mm","http://datasheet.octopart.com/BZX84C5V1LT1G-ON-Semiconductor-datasheet-6396728.pdf",,"0mm",,,,,,"0mm","5.2V",,
"BZX84C5V6LT1G","BZX84C","SOT23_TO236_SC59","Zener","225mW","Surface Mount","SOT23","0","0V",,"0mm","http://datasheet.octopart.com/BZX84C5V6LT1G-ON-Semiconductor-datasheet-6396728.pdf",,"0mm",,,,,,"0mm","5.6V",,
