"Part Number","Library Ref","Footprint Ref","Manufacturer Part Number","Manufacturer","Description","Max Output Current","Max Power Dissipation","Mount","Nominal Output Voltage","Case/Package","Polarity","Output Type","Accuracy","Dropout Voltage","Height","HelpURL","Marking","Max Input Voltage","Max Operating Temperature","Max Output Voltage","Min Input Voltage","Min Output Voltage","Number of Pins","Quiescent Current","Reference Voltage","RoHS","Status"
"AP1117Y50L-13","AP1117Y50L-13","SOT89_TO-243AA","AP1117Y50L-13",,"LDO Regulator Pos 5V 1A","1A","15W","Surface Mount","5V","SOT-89-3","Positive","Fixed","0","1.3V","1.5mm",,,"18V","125°C","0V","6.4V","0V","4","10mA",,,
"KA7805ERTF","KA7805ERTF","DPAK_TO252-3_SC63_M","KA7805ERTF",,"5 V Fixed Output 1 A SMT 3-Terminal LDO Regulator","1A","0W","Surface Mount","5V","DPAK","Positive","Fixed","0.04","2V","2.38mm","http://datasheet.octopart.com/KA7805ERTF-ON-Semiconductor-datasheet-86697521.pdf",,"35V","125°C","20.5V","35V","5V","3","8mA",,,
"L78L05CD13TR
R","L78L05CD13TR","SOIC127P600X170-8N","L78L05CD13TR","STMicroelectronics","NA","0A","0W","Surface Mount","5V","SO8",,,"0","0V","0mm","http://datasheet.octopart.com/L78L05CD13TR-STMicroelectronics-datasheet-12512320.pdf",,"0V","0°C","0V","0V","0V",,"0A",,,
"L78L33ACD13TR","L78L33ACD13TR","SOIC127P600X170-8N","L78L33ACD13TR","STMicroelectronics","NA","0A","0W","Surface Mount","3.3","SO8",,,"0","0V","0mm","http://www.farnell.com/datasheets/1897877.pdf",,"0V","0°C","0V","0V","0V",,"0A",,,
"L78L33CD-TR","L78L33CD-TR","SOIC127P600X170-8N","L78L33CD-TR","STMicroelectronics","L78L Series 3.3 V 100 mA Fixed Positive Voltage Regulator","100mA",,"Surface Mount","3.3V","SO8","Positive","Fixed","0.08","1.7V",,"https://datasheet.octopart.com/L78L33CD-TR-STMicroelectronics-datasheet-10404867.pdf",,"30V","125","3.3V","5V","3.3V","8","6mA",,"Compliant","MK"
"LD1117AS33TR","LD1117AS33TR","SOT223_SC73","LD1117AS33TR","STMicroelectronics","Low-Dropout Positive Voltage Regulator","1.2A","12W","Surface Mount","3.3V","SOT-223","Positive","Fixed","0.02","1.15V","1.8mm","http://datasheet.octopart.com/LD1117AS33TR-STMicroelectronics-datasheet-10620727.pdf",,"10V","125°C","3.3V","5.3V","3.3V","4","10mA",,,
"LD1117DT50CTR","LD1117DT50CTR","DPAK_TO252-3_SC63_M","LD1117DT50CTR","STMicroelectronics","Low-Dropout Positive Voltage Regulator","1.3A","12W","Surface Mount","5V","TO-252","Positive","Fixed","0.01","1.1V","2.4mm","http://www.mouser.com/ds/2/389/ld1117-974075.pdf",,"15V","125°C","0V","0V","5V","3","10mA",,,
"LD1117DT50CTR","LD1117DT50CTR","DPAK_TO252-3_SC63_M","LD1117DT50CTR",,"Low-Dropout Positive Voltage Regulator","1.3A","12W","Surface Mount","5V","DPAK","Positive","Fixed","0.01","1.1V","2.4mm","http://www.mouser.com/ds/2/389/ld1117-974075.pdf",,"15V","125°C","3.3V","0V","5V","3","10mA",,,
"LD39300PT-R","LD39300PT-R","PPAK-5","LD39300PT-R","STMicroelectronics","LDO Regulator Pos 1.22V to 5V 3A","3A","0W","Surface Mount","ADJ","PPAK-5","Positive","Adjustable","0.015","200mV","1.4mm","http://datasheet.octopart.com/LD39300PT-R-STMicroelectronics-datasheet-10835776.pdf",,"6V","125°C","0V","2.5V","1.22V","5","1.2mA","1.22V",,
"LDL212DR","LDL212DR","SOIC127P600X170-8N","LDL212DR","STMicroelectronics","Low-Dropout Positive Voltage Regulator","0A","0W","Surface Mount","ADJ","SO8","Positive","Adjustable","0","350mV","0mm","http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/df/64/f9/b7/91/6e/43/20/DM00225720/files/DM00225720.pdf/jcr:content/translations/en.DM00225720.pdf",,"18V","125°C","17.65V","2.5V","1.18V","8","0A",,,
"LM2931D-5.0G","LM2931D-5.0G","SOIC127P600X170-8N","LM2931D-5.0G","ON Semiconductor","Single Low Dropout Voltage Regulator; 100mA 5 V; +/-5%","100mA","0W","Surface Mount","5V","SO8","Positive","Fixed","0.05","160mV","800mm","http://datasheet.octopart.com/LM2931D-5.0G-ON-Semiconductor-datasheet-11477030.pdf",,"40V","125°C","0V","14V","2.7V","8","0A",,,
"LM3480IM3-3.3/NOPB","LM3480IM3-3.3/NOPB","SOT23_TO236_SC59","LM3480IM3-3.3/NOPB","Texas Instruments","100 mA, SOT-23, Quasi Low-Dropout Linear Voltage Regulator","100mA","250mW","Surface Mount","3.3V","SOT23","Positive","Fixed","0.05","900mV","2.38mm","https://octopart.com/click/track?ct=datasheets&hlid=24888718&ppid=24813901&sid=370&sig=0637c72",,"30V","125°C","3.3V","0V","0V","3","4mA",,,
"LP2951CDR2G","LP2951CDR2G","SOIC127P600X170-8N","LP2951CDR2G","ON Semiconductor","100 mA, Low Power Low Dropout Voltage Regulator","100mA","0W","Surface Mount","5V","SO8","Positive","Adjustable, Fixed","0.01","350mV","1.5mm","https://datasheet.octopart.com/LP2951CDR2G-ON-Semiconductor-datasheet-11477616.pdf",,"30V","125°C","29V","2.25V","1.25V","8","75µA","1.26V",,
"LP2980AIM5-5.0","LP2980AIM5-5.0","SOT23-5_SC74A_SOT753_M","LP2980AIM5-5.0","Texas Instruments","NA","0A","0W","Surface Mount","0V","SOT23-5",,,"0","0V","1.45mm","http://www.farnell.com/datasheets/2001485.pdf",,"0V","0°C","0V","0V","0V",,"0A",,,
"LP2985AIM5-4.0/NOPB","LP2985","SOT23-5_SC74A_SOT753_M","LP2985AIM5-4.0/NOPB","Texas Instruments","Micropower 150mA Low-Noise Ultra-Low-Dropout Regulator","100mA",,"Surface Mount","4V","SOT23-5","Positive","Fixed","1%","280mV","1.45mm","http://www.ti.com/lit/ds/symlink/lp2985-n.pdf","L0TA","16V","125","4V","4V","3.1","5","2.5mA",,"Compliant","MK"
"LP5907MFX-3.0/NOPB","LP5907MFX-3.0/NOPB","SOT23-5_SC74A_SOT753_M","LP5907MFX-3.0/NOPB","Texas Instruments","Ultra-Low-Noise, Low-IQ LDO","0A","0W","Surface Mount","3V","SOT23-5","Positive","Fixed","0","250mV","1.45mm","http://www.ti.com/lit/ds/symlink/lp5907.pdf",,"5.5V","125°C","0V","2.2V","0V","5","25µA",,,
"MC7805CDTG","MC7805CDTG","DPAK_TO252-3_SC63_M","MC7805CDTG","ON Semiconductor","Single Linear Voltage Regulator; 1A 5 V; +/-4%","1A","369.6mW","Surface Mount","5V","DPAK","Positive","Fixed","0.04","1.1V","2.4mm","http://datasheet.octopart.com/MC7805CDTG-ON-Semiconductor-datasheet-8324306.pdf",,"35V","125°C","3.3V","7V","5V","3","6.5mA",,,
"MC78L05ABDR2G","MC78L05ABDR2G","SOIC127P600X170-8N","MC78L05ABDR2G","ON Semiconductor","100 mA Positive Voltage","100mA","0W","Surface Mount","5V","S08","Positive","Fixed","0","1.7V","1.5mm","http://www.mouser.com/ds/2/308/MC78L00A-D-94916.pdf",,"30V","125°C","0V","7V","5V","8","0A",,,
"MC78M05","MC78M05","DPAK_TO252-3_SC63_M","MC78M05","ON Semiconductor","NA","0A","0W","Surface Mount","5V",,,,"0","0V","0mm","http://datasheet.octopart.com/MC78M05BDTRKG-ON-Semiconductor-datasheet-11476747.pdf",,"0V","0°C","0V","0V","0V",,"0A",,,
"MCP1700T-3302E/TT","MCP1700T-3302E/TT","SOT23_TO236_SC59","MCP1700T-3302E/TT","Microchip Technology","Low Quiescent Current LDO","250mA","369.6mW","Surface Mount","3.3V","SOT-23","Positive","Fixed","0.02","178mV","950µm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf",,"6V","125°C","3.3V","2.3V","3.3V","3","4µA",,,
"MCP1702T-3302E/MB","MCP1702T-3302E/MB","SOT89_TO-243AA","MCP1702T-3302E/MB","Microchip Technology","Voltage regulator; LDO, fixed; 3.3V; 0.25A","250mA","0W","Surface Mount","3.3V","SOT-89","Positive","Fixed","0.02","525mV","1.6mm","http://ww1.microchip.com/downloads/en/DeviceDoc/22008b.pdf",,"13.2V","125°C","3.3V","2.7V","3.3V","3","5µA",,,
"MCP1702T-5002E/MB","MCP1702T-5002E/MB","SOT89_TO-243AA","MCP1702T-5002E/MB","Microchip Technology","LDOVoltage Regulator; 250mA; 5V +/-2%","250mA","0W","Surface Mount","5V","SOT-89","Positive","Fixed","0.02","330mV","1.6mm","https://datasheet.octopart.com/MCP1702T-5002E/MB-Microchip-datasheet-10060743.pdf",,"13.2V","125°C","5V","2.7V","5V","3","5µA",,,
"MCP1804T-3302I/OT","MCP1804T-3302I/OT","SOT23-5_SC74A_SOT753_M","MCP1804T-3302I/OT","Microchip","150 mA, 28V LDO Regulator With Shutdown","150mA","250mW","Surface Mount","3.3V","SOT-23","Positive","Fixed","0.02","1.3V","1.45mm","http://datasheet.octopart.com/MCP1804T-3302I/OT-Microchip-datasheet-10533282.pdf",,"28V","85°C",,"2V","3.3V","5","105uA",,"Compliant",
