"Part Number","Library Ref","Footprint Ref","Manufacturer Part Number","Output Current","Description","Manufacturer","Case/Package","Polarity","Output Type","Mount","Accuracy","Axis","Bandwidth","Height","HelpURL","Marking","Max Operating Temperature","Max Supply Voltage","Min Supply Voltage","Operating Supply Current","RoHS","Sensitivity","Sensor Type","Status"
"ACS709LLFTR-35BB-T","ACS709LLFTR-35BB-T","QSOP24_M","ACS709LLFTR-35BB-T","1mA","High-Bandwidth, Fast Fault Response Current Sensor IC","Allegro","QSOP","Bidirectional",,"Surface Mount","3%",,"120kHz","1.75mm","http://www.allegromicro.com/en/Products/Part_Numbers/0709/0709.pdf",,"150°C","5.5V","3V","11mA","Compliant","28mV/A","Current",
"ACS730KLCTR-20AB-T","ACS730KLCTR-20AB-T","SOIC127P600X170-8N","ACS730KLCTR-20AB-T",,"1 MHz Bandwidth, Galvanically Isolated Current Sensor IC","Allegro","SOIC","Bidirectional",,"Surface Mount","3%",,"1MHz","1.75mm","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiez9ml4q3cAhUkQpoKHWT_CdoQFggpMAA&url=https%3A%2F%2Fwww.allegromicro.com%2F~%2Fmedia%2FFiles%2FDatasheets%2FACS730-Datasheet.ashx&usg=AOvVaw2YCim_rw6DKhVBL8LsFakB",,"125°C","5.5V","4.5V",,"Compliant","100mV/A","Current",
"BME280","BME280","BME280","BME280",,"Integrated environmental sensor","Bosch","LGA",,,"Surface Mount",,,,,"https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BME280-DS002.pdf",,,,,,,,"Humidity, Pressure, Temperature",
"BME680","BME680","BME680","BME680",,"Low power gas, pressure, temperature & humidity","Bosch","LGA",,,"Surface Mount",,,,"930µm","https://datasheet.octopart.com/BME680-Bosch-Tools-datasheet-86813686.pdf",,"85°C","3.6V","1.71V",,"Compliant",,"Gas,Pressure,Temperature,Humidity",
"DRV5053VAQDBZR","DRV5055A1QDBZT","SOT23_TO236_SC59","DRV5053VAQDBZR","2.3mA","Ratiometric Linear Hall Effect Sensor","Texas Instruments","SOT-23",,,"Surface Mount",,,,"1.12mm","http://www.ti.com/lit/ds/symlink/drv5055.pdf",,"125°C","38V","2.5V",,"Compliant",,"Magnetic Field",
"DRV5053VAQLPG","DRV5053VAQLPG","TO92_TO226_L_T","DRV5053VAQLPG","2.3mA","2.5 to 38 V Bipolar Output Hall Effect Sensor","Texas Instruments","TO-226-3",,"Analog Voltage","Through Hole",,,"20kHz","3.15mm","https://octopart.com/click/track?ct=datasheets&hlid=24882007&ppid=43172449&sid=370&sig=0907517",,"125°C","38V","2.5V",,"Compliant",,"Magnetic Field",
"DRV5055A1QDBZT","DRV5055A1QDBZT","SOT23_TO236_SC59","DRV5055A1QDBZT",,"Ratiometric Linear Hall Effect Sensor","Texas Instruments","SOT-23",,,"Surface Mount",,,,"1.12mm","http://www.ti.com/lit/ds/symlink/drv5055.pdf",,"125°C","5.5V","3V",,"Compliant",,"Magnetic Field",
"ICM-20948","ICM-20948","QFN24_3X3X7","ICM-20948",,"9-Axis MEMS MotionTracking™ Device","TDK InvenSense","QFN",,,"Surface Mount",,,,"1mm","http://www.invensense.com/wp-content/uploads/2016/06/DS-000189-ICM-20948-v1.3.pdf",,"85°C","3.6V","1.71V",,"Compliant",,"Accelerometer,Gyroscope,Magnetic Field",
"INA181A1IDBVT","INA181A1IDBVT","SOT23-6_SC74A_SOT753","INA181A1IDBVT",,"Current Sense Amplifiers MULTI CHANNEL CURRENT SENSE L/H SIDE","Texas Instruments","SOT23-6",,,"Surface Mount",,,,"1.45mm","http://www.ti.com/lit/ds/symlink/ina181.pdf",,"125°C","5.5V","2.7V",,"Compliant","20V/V","Current",
"INA219BIDR","INA219BIDR","SOIC127P600X170-8N","INA219BIDR",,"INA219 Zero-Drift, Bidirectional Current/Power Monitor With I2C Interface","Texas Instruments","SOIC8","Bidirectional","I2C","Surface Mount","0.5%",,"500kHz","1.45mm","http://www.ti.com/lit/ds/symlink/ina219.pdf",,,,,"1mA","Compliant","40mV","Current,Voltage,Power",
