"Part Number","Library Ref","Footprint Ref","Case/Package","Manufacturer Part Number","Description","Manufacturer","Tolerance","Max Current Rating","Mount","DC Resistance (DCR)","Case Code (Metric)","Height","HelpURL","Impedance","Max Operating Temperature","RoHS","Termination","Status","Frequency","Supplier 1","Supplier Part Number 1","Supplier Unit Price 1"
"742792022","FB","FB_0805_2012","0805","742792022","Ferrite Bead",,"0.25","2A","Surface Mount","50m","2012","900µm","https://datasheet.octopart.com/742792022-W%C3%BCrth-Elektronik-datasheet-41341939.pdf","200","125°C","Compliant","SMD/SMT",,,,,
"BLM15EG121SH1D","FB","FB_0402_1005",,"BLM15EG121SH1D","Ferrite Bead",,"0.25","1.5A","Surface Mount","95m",,"0mm","http://datasheet.octopart.com/BLM15EG121SH1D-Murata-datasheet-37129980.pdf","120","0°C",,,,,,,
"BLM15EG221SH1D","FB","FB_0402_1005",,"BLM15EG221SH1D","Ferrite Bead",,"0.25","700mA","Surface Mount","0.28",,"0mm","http://datasheet.octopart.com/BLM15EG221SH1D-Murata-datasheet-37129980.pdf","220","0°C",,,,,,,
"BLM15HG102SN1D","FB","FB_0402_1005",,"BLM15HG102SN1D","Ferrite Bead",,"0.25","250mA","Surface Mount","1.1",,"0mm","http://datasheet.octopart.com/BLM15HG102SN1D-Murata-datasheet-27440.pdf","1k","0°C",,,,,,,
"BLM18AG601SN1D","FB","FB_0603_1608","0603","BLM18AG601SN1D","Ferrite Bead",,"0.25","500mA","Surface Mount","0.38",,"0mm","http://datasheet.octopart.com/BLM18AG601SN1D-Murata-datasheet-11743096.pdf","680","0°C",,,,,,,
"BLM18EG101TN1D","FB","FB_0603_1608","0603","BLM18EG101TN1D","Ferrite Bead","Murata","0.25","2A","Surface Mount","45m","0603",,"https://datasheet.octopart.com/BLM18EG101TN1D-Murata-datasheet-66919.pdf","100",,"Compliant","SMD/SMT","MK","100MHz",,,
"BLM18EG221TN1D","FB","FB_0603_1608","0603","BLM18EG221TN1D","Ferrite Bead",,"0.25","1A","Surface Mount","0.15",,"0mm","http://datasheet.octopart.com/BLM18EG221TN1D-Murata-datasheet-66919.pdf","220","0°C",,,,,,,
"BLM21PG300SN1D","FB","FB_0805_2012",,"BLM21PG300SN1D","Ferrite Bead",,"0.25","4A","Surface Mount","14m",,"0mm","http://www.mouser.com/ds/2/281/c31e-794748.pdf","30","0°C",,,,,,,
"BLM41PG102SH1L","FB","FB_1806_4516",,"BLM41PG102SH1L","Ferrite Bead",,"0.25","1.5A","Surface Mount","90m",,"0mm","https://datasheet.octopart.com/BLM41PG102SH1L-Murata-datasheet-32036521.pdf","1k","0°C",,,,,,,
"FB_74279266","FB","FB_0603_1608",,"74279266","Ferrite Bead","Wurth",,,"Surface Mount",,,,"http://www.farnell.com/datasheets/1920067.pdf?_ga=2.210360597.1851800069.1516124392-930414557.1508304960",,,,,,,,,
"FBMH1608HM470-T","FB","FB_0603_1608","0603","FBMH1608HM470-T","Ferrite Bead","Taiyo Yuden","0.25","3.5A","Surface Mount","20m",,"0mm","http://datasheet.octopart.com/FBMH1608HM470-T-Taiyo-Yuden-datasheet-17272573.pdf","47","0°C",,,,,,,
"MPZ2012S300A","FB","FB_0805_2012","0805","MPZ2012S300A","Ferrite Bead","TDK","0.25","6A","Surface Mount","10m","2012","850µm","https://datasheet.octopart.com/MPZ2012S300A-TDK-datasheet-8365394.pdf","30","125°C",,"SMD/SMT",,,,,
"NFL18ST207X1C3D","EMI_FLTR","EMI_FLTR_0603_1608","0603","NFL18ST207X1C3D","EMI Filter","Murata","0.2","150mA","Surface Mount",,"0603",,"http://datasheet.octopart.com/NFL18ST207X1C3D-Murata-datasheet-5393498.pdf",,,"Compliant","SMD/SMT","MK",,,,
