"Part Number","Library Ref","Resistance","Tolerance","Current Rating","Voltage Rating (DC)","Case Code (Imperial)","Power Rating","Mount","Manufacturer","Manufacturer Part Number","Description","Footprint Ref","Height","HelpURL","RoHS","Max Operating Temperature","Stats"
"R_0R_0402_1","R","0","1%",,"50V","0402","63mW","Surface Mount","Yageo","RC0402FR-070RL",,"R_0402_1005","0mm","http://datasheet.octopart.com/2176049-1-TE-Connectivity---AMP-datasheet-11120217.pdf","Compliant","155","MK"
"R_0R_0603_1","R","0","1%",,,"0603","63mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_0R_0805_5","R","0","5%","2A","150V","0805","125mW","Surface Mount","Yageo","RC0805JR-070RL","Thick Film Resistor","R_0805_2012","0.6mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155°C","MK"
"R_0R_1210_5","R","0","5%",,"200V","1210","500mW","Surface Mount","Panasonic","ERJ-14Y0R00U","Thick Film Resistor","R_1210_3225","500µm","http://datasheet.octopart.com/ERJ-14Y0R00U-Panasonic-datasheet-5314550.pdf","Compliant","155°C","MK"
"R_0R0_2512_1","R","0","1%",,,"2512","250mW","Surface Mount",,,,"R_2512_6432","0mm",,,"0°C",
"R_0R001_4026_1","R_SENSE","0.001","1%",,,"0426","3W","Surface Mount","Vishay","WSLP40261L000FEA","Current Sense Resistor","R_0426","3mm","https://pl.mouser.com/datasheet/2/427/wsl4026-101666.pdf",,"170",
"R_0R002_2412","R","2m","0",,,"2412","125mW","Surface Mount",,,,"R_1210_3225","0mm",,,"0°C",
"R_0R002_2512","R","2m","0",,,"2512","0W","Surface Mount",,,,"R_2512_6432","0mm",,,"0°C",
"R_0R002_3637","R","2m","0",,,"3637","0W","Surface Mount",,,,"R_3637_9194","0mm",,,"0°C",
"R_0R004_1206_1","R","4m","1%",,,"1206","1W","Surface Mount","Vishay","WSLP12064L000FEA",,"R_1206_3216","635µm","https://pl.mouser.com/datasheet/2/427/wslp-773481.pdf",,"170°C",
"R_0R005_0805_1","R","5m","1%",,,"0805","0.5W","Surface Mount","Bourns","CRF0805-FZ-R005ELF","Thick Film Resistor","R_0805_2012","600µm","http://datasheet.octopart.com/CRF0805-FZ-R005ELF-Bourns-datasheet-76801175.pdf","Compliant","170","MK"
"R_0R008_1206_1","R","8m","1%",,,"1206","1W","surface mount",,,,"R_1206_3216","610mm",,,"125°C",
"R_0R009_1206_1","R","9m","1%",,,"1206","1W","Surface Mount","Rohm","PMR18EZPFU9L00","Thick Film Resistor","R_1206_3216",,"http://datasheet.octopart.com/PMR18EZPFU9L00-Rohm-datasheet-70730905.pdf",,"155","MK"
"R_0R01_1206_1","R","10m","1%",,"500V","1206","1W","Surface Mount","Panasonic","ERJ-8CWFR010V",,"R_1206_3216","635µm","https://pl.mouser.com/datasheet/2/315/AOA0000C313-1141758.pdf",,"170°C",
"R_0R01_2512","R","10m","0",,,"2512","0W","Surface Mount",,,,"R_2512_6432","0mm",,,"0°C",
